r_nm,g_r
3.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+02,0.000000000000000000e+00
1.500000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
2.100000000000000000e+02,0.000000000000000000e+00
2.400000000000000000e+02,4.832753039076239515e-02
2.700000000000000000e+02,1.934884519334952035e-02
3.000000000000000000e+02,1.584150165376954633e-02
3.300000000000000000e+02,5.283160753045561958e-02
3.600000000000000000e+02,1.677037435201829685e-01
3.900000000000000000e+02,1.725478370258847483e-01
4.200000000000000000e+02,1.911273408718661693e-01
4.500000000000000000e+02,1.890873276454101692e-01
4.800000000000000000e+02,1.732870260461915057e-01
5.100000000000000000e+02,2.396393427537587273e-01
5.400000000000000000e+02,2.297557615704940714e-01
5.700000000000000000e+02,4.825340841163547334e-01
6.000000000000000000e+02,5.655202525345677245e-01
6.300000000000000000e+02,9.035366649805731676e-01
6.600000000000000000e+02,1.018330104662493296e+00
6.900000000000000000e+02,1.123389047571629940e+00
7.200000000000000000e+02,1.193698050767943108e+00
7.500000000000000000e+02,1.204051561883228372e+00
7.800000000000000000e+02,1.035268823786166026e+00
8.100000000000000000e+02,1.035303921213829526e+00
8.400000000000000000e+02,9.036871398879943174e-01
8.700000000000000000e+02,8.836293760455752322e-01
9.000000000000000000e+02,8.153690715050557758e-01
9.300000000000000000e+02,7.855618149611633960e-01
9.600000000000000000e+02,7.710597235996649035e-01
9.900000000000000000e+02,8.845646103124160664e-01
1.020000000000000000e+03,7.371200217848379310e-01
1.050000000000000000e+03,7.932565964325564156e-01
1.080000000000000000e+03,7.490767210568172185e-01
1.110000000000000000e+03,7.668315615653931161e-01
1.140000000000000000e+03,6.508730492834589043e-01
1.170000000000000000e+03,6.306582691059424706e-01
1.200000000000000000e+03,6.052284175821793788e-01
1.230000000000000000e+03,5.124803965426454333e-01
1.260000000000000000e+03,5.089685342187120209e-01
1.290000000000000000e+03,5.504928800861443872e-01
1.320000000000000000e+03,5.013177988422665710e-01
1.350000000000000000e+03,5.208923455553684523e-01
1.380000000000000000e+03,5.488456382276942769e-01
1.410000000000000000e+03,5.740081182038277996e-01
1.440000000000000000e+03,6.286003035423651797e-01
1.470000000000000000e+03,7.076028772981279857e-01
1.500000000000000000e+03,7.387966196699441435e-01
1.530000000000000000e+03,7.248825879272958739e-01
1.560000000000000000e+03,7.159213117078275790e-01
1.590000000000000000e+03,7.443660953508585143e-01
1.620000000000000000e+03,7.555494971225084067e-01
1.650000000000000000e+03,7.098436150086082641e-01
1.680000000000000000e+03,7.572112077426174093e-01
1.710000000000000000e+03,7.009708765852785683e-01
1.740000000000000000e+03,6.802757716113531083e-01
1.770000000000000000e+03,5.795982010775749815e-01
